id,nombre,imagen_url,explicacion_teorica,explicacion_tecnica
1001,Botas,https://ddragon.leagueoflegends.com/cdn/16.9.1/img/item/1001.png,Aumenta ligeramente la Velocidad de Movimiento.,FlatMovementSpeedMod=25
1004,Amuleto de las Hadas,https://ddragon.leagueoflegends.com/cdn/16.9.1/img/item/1004.png,Aumenta ligeramente la Regen. de Maná.,
1006,Perla de Rejuvenecimiento,https://ddragon.leagueoflegends.com/cdn/16.9.1/img/item/1006.png,Aumenta ligeramente la Regen. de Vida.,
1011,Cinturón de Gigante,https://ddragon.leagueoflegends.com/cdn/16.9.1/img/item/1011.png,Aumenta en gran medida la Vida.,FlatHPPoolMod=350
1018,Capa de Agilidad,https://ddragon.leagueoflegends.com/cdn/16.9.1/img/item/1018.png,Aumenta la probabilidad de golpe crítico.,FlatCritChanceMod=0.15
1026,Varita Explosiva,https://ddragon.leagueoflegends.com/cdn/16.9.1/img/item/1026.png,Aumenta moderadamente el Poder de Habilidad.,FlatMagicDamageMod=45
1027,Cristal de Zafiro,https://ddragon.leagueoflegends.com/cdn/16.9.1/img/item/1027.png,Aumenta el Maná.,FlatMPPoolMod=300
1028,Cristal de Rubí,https://ddragon.leagueoflegends.com/cdn/16.9.1/img/item/1028.png,Aumenta la Vida.,FlatHPPoolMod=150
1029,Armadura de Tela,https://ddragon.leagueoflegends.com/cdn/16.9.1/img/item/1029.png,Aumenta ligeramente la Armadura.,FlatArmorMod=15
1031,Cota de Malla,https://ddragon.leagueoflegends.com/cdn/16.9.1/img/item/1031.png,Aumenta en gran medida la Armadura.,FlatArmorMod=40
1033,Manto Anulamagia,https://ddragon.leagueoflegends.com/cdn/16.9.1/img/item/1033.png,Aumenta ligeramente la Resistencia Mágica.,FlatSpellBlockMod=20
1035,Cuchillo Ámbar,https://ddragon.leagueoflegends.com/cdn/16.9.1/img/item/1035.png,,
1036,Espada Larga,https://ddragon.leagueoflegends.com/cdn/16.9.1/img/item/1036.png,Aumenta ligeramente el daño de ataque.,FlatPhysicalDamageMod=10
1037,Picacha,https://ddragon.leagueoflegends.com/cdn/16.9.1/img/item/1037.png,Aumenta moderadamente el Daño de Ataque.,FlatPhysicalDamageMod=25
1038,Espadón,https://ddragon.leagueoflegends.com/cdn/16.9.1/img/item/1038.png,Aumenta en gran medida el daño de ataque.,FlatPhysicalDamageMod=40
1039,Hoja Granizo,https://ddragon.leagueoflegends.com/cdn/16.9.1/img/item/1039.png,Proporciona daño contra monstruos y regeneración de maná en la jungla.,
1040,Filo de Obsidiana,https://ddragon.leagueoflegends.com/cdn/16.9.1/img/item/1040.png,,
